5 février 2019 17:51:27	La synchronisation entre les répertoires "{SourcePath}" et "{DestinationPath}" a été démarrée.

5 février 2019 17:51:42	La synchronisation entre les répertoires "{SourcePath}" et "{DestinationPath}" a été arrêtée.

5 février 2019 17:51:51	La synchronisation entre les répertoires "{SourcePath}" et "{DestinationPath}" a été démarrée.

6 février 2019 14:30:23	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

6 février 2019 14:30:40	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été arrêtée.

7 février 2019 13:21:45	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 13:24:39	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 13:25:38	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 13:26:06	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 13:29:13	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 13:30:23	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été arrêtée.

7 février 2019 13:30:30	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été arrêtée.

7 février 2019 13:55:54	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

7 février 2019 14:04:53	La synchronisation entre les répertoires "C:\PROGRAMMES_V200" et "\\192.168.3.10\programmes_v200" a été démarrée.

